date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:01	2631/2631	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Sep%202020%2008:11:24%20GMT	https://thietbidienavhh.com/js/app_const.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/js/app_const.js	(from https://thietbidienavhh.com/)
15:05:01	840/840	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2008%20Sep%202020%2002:55:36%20GMT	https://thietbidienavhh.com/js/global.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/js/global.js	(from https://thietbidienavhh.com/)
15:05:01	15618/15618	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Sep%202020%2010:19:02%20GMT	https://thietbidienavhh.com/ajax/ajax_main.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/ajax/ajax_main.js	(from https://thietbidienavhh.com/)
15:05:02	2837/2837	---MCZ	200	added ('OK')	application/javascript	etag:W/%222837-1600328232000%22	https://cdn.bksoftwarevn.com/resources/library_js/ajax_micro_service/ajax_global.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/cdn.bksoftwarevn.com/resources/library_js/ajax_micro_service/ajax_global.js	(from https://thietbidienavhh.com/)
15:05:02	3942/3942	---MCZ	200	added ('OK')	application/javascript	etag:W/%223942-1600422557000%22	https://cdn.bksoftwarevn.com/resources/library_js/ajax_micro_service/ajax_infor_system_service.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/cdn.bksoftwarevn.com/resources/library_js/ajax_micro_service/ajax_infor_system_service.js	(from https://thietbidienavhh.com/)
15:05:02	4337/4337	---MCZ	200	added ('OK')	application/javascript	etag:W/%224337-1600328234000%22	https://cdn.bksoftwarevn.com/resources/library_js/ajax_micro_service/ajax_product_service.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/cdn.bksoftwarevn.com/resources/library_js/ajax_micro_service/ajax_product_service.js	(from https://thietbidienavhh.com/)
15:05:03	1703/1703	---MCZ	200	added ('OK')	application/javascript	etag:W/%221703-1600328233000%22	https://cdn.bksoftwarevn.com/resources/library_js/ajax_micro_service/ajax_news_service.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/cdn.bksoftwarevn.com/resources/library_js/ajax_micro_service/ajax_news_service.js	(from https://thietbidienavhh.com/)
15:05:03	9520/9520	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Sep%202020%2015:08:24%20GMT	https://thietbidienavhh.com/ajax/page/ajax_page_base.js	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/ajax/page/ajax_page_base.js	(from https://thietbidienavhh.com/)
15:05:03	26046/26046	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2008:05:06%20GMT	https://thietbidienavhh.com/trang-chu	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/trang-chu.html	(from https://thietbidienavhh.com/)
15:05:03	1479/1479	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Sep%202020%2003:11:16%20GMT	https://thietbidienavhh.com/file/icon/important-mail.png	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/file/icon/important-mail.png	(from https://thietbidienavhh.com/)
15:05:04	800/800	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Sep%202020%2003:10:44%20GMT	https://thietbidienavhh.com/file/icon/facebook.png	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/file/icon/facebook.png	(from https://thietbidienavhh.com/)
15:05:04	811/811	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Sep%202020%2003:11:00%20GMT	https://thietbidienavhh.com/file/icon/youtube.png	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/file/icon/youtube.png	(from https://thietbidienavhh.com/)
15:05:04	4397/4397	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Sep%202020%2003:10:04%20GMT	https://thietbidienavhh.com/file/icon/zalo.png	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/file/icon/zalo.png	(from https://thietbidienavhh.com/)
15:05:04	23387/23387	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2008:05:07%20GMT	https://thietbidienavhh.com/gioi-thieu	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/gioi-thieu.html	(from https://thietbidienavhh.com/)
15:05:05	26716/26716	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2008:05:07%20GMT	https://thietbidienavhh.com/cong-trinh	C:/Users/trung/Desktop/ThietBiDienTu/thietbidientu/thietbidienavhh.com/cong-trinh.html	(from https://thietbidienavhh.com/)
